DapipId,AgencyId,AgencyName,ProgramId,ProgramName,SequentialId,ActionDescription,ActionDate,JustificationDescription,JustificationOther,EndDate
"139986","27","Academy of Nutrition and Dietetics, Accreditation Council for Education in Nutrition and Dietetics","23","Dietetics (DIET) - Coordinated Program in Dietetics","1","Renewal of Accreditation","1/27/2017 12:00:00 AM","Is in compliance with all of the agency's accreditation standards","",""
"140997","27","Academy of Nutrition and Dietetics, Accreditation Council for Education in Nutrition and Dietetics","23","Dietetics (DIET) - Coordinated Program in Dietetics","1","Renewal of Accreditation","7/28/2017 12:00:00 AM","Is in compliance with all of the agency's accreditation standards","",""
"140997","27","Academy of Nutrition and Dietetics, Accreditation Council for Education in Nutrition and Dietetics","23","Dietetics (DIET) - Coordinated Program in Dietetics","1","Grant Substantive Change: Other","10/8/2018 12:00:00 AM","Is in compliance with all of the agency's accreditation standards","",""
"141316","27","Academy of Nutrition and Dietetics, Accreditation Council for Education in Nutrition and Dietetics","23","Dietetics (DIET) - Coordinated Program in Dietetics","1","Renewal of Accreditation","1/27/2017 12:00:00 AM","Is in compliance with all of the agency's accreditation standards","",""
"146375","27","Academy of Nutrition and Dietetics, Accreditation Council for Education in Nutrition and Dietetics","23","Dietetics (DIET) - Coordinated Program in Dietetics","1","Renewal of Accreditation","1/27/2017 12:00:00 AM","Is in compliance with all of the agency's accreditation standards","",""
"151582","27","Academy of Nutrition and Dietetics, Accreditation Council for Education in Nutrition and Dietetics","23","Dietetics (DIET) - Coordinated Program in Dietetics","1","Probation or Equivalent or a More Severe Status: Probation","1/26/2018 12:00:00 AM","Additional oversight is required to ensure a resolution of compliance issues","",""
"151652","27","Academy of Nutrition and Dietetics, Accreditation Council for Education in Nutrition and Dietetics","23","Dietetics (DIET) - Coordinated Program in Dietetics","1","Renewal of Accreditation","7/27/2018 12:00:00 AM","Is in compliance with all of the agency's accreditation standards","",""
"192749","27","Academy of Nutrition and Dietetics, Accreditation Council for Education in Nutrition and Dietetics","23","Dietetics (DIET) - Coordinated Program in Dietetics","1","Renewal of Accreditation","7/27/2018 12:00:00 AM","Is in compliance with all of the agency's accreditation standards","",""
"109712006","27","Academy of Nutrition and Dietetics, Accreditation Council for Education in Nutrition and Dietetics","23","Dietetics (DIET) - Coordinated Program in Dietetics","1","Renewal of Accreditation","4/10/2017 12:00:00 AM","Has satisfactorily addressed all compliance concerns from previous actions","",""
"103024002","27","Academy of Nutrition and Dietetics, Accreditation Council for Education in Nutrition and Dietetics","24","Dietetics (DIETI) - Dietetic Internship","1","Renewal of Accreditation","7/28/2017 12:00:00 AM","Is in compliance with all of the agency's accreditation standards","",""
"116970004","27","Academy of Nutrition and Dietetics, Accreditation Council for Education in Nutrition and Dietetics","24","Dietetics (DIETI) - Dietetic Internship","1","Renewal of Accreditation","1/27/2017 12:00:00 AM","Is in compliance with all of the agency's accreditation standards","",""
"120801015","27","Academy of Nutrition and Dietetics, Accreditation Council for Education in Nutrition and Dietetics","24","Dietetics (DIETI) - Dietetic Internship","1","Renewal of Accreditation","7/27/2018 12:00:00 AM","Is in compliance with all of the agency's accreditation standards","",""
"122825005","27","Academy of Nutrition and Dietetics, Accreditation Council for Education in Nutrition and Dietetics","24","Dietetics (DIETI) - Dietetic Internship","1","Renewal of Accreditation","7/28/2017 12:00:00 AM","Is in compliance with all of the agency's accreditation standards","",""
"123794002","27","Academy of Nutrition and Dietetics, Accreditation Council for Education in Nutrition and Dietetics","24","Dietetics (DIETI) - Dietetic Internship","1","Renewal of Accreditation","1/27/2017 12:00:00 AM","Is in compliance with all of the agency's accreditation standards","",""
"128629023","27","Academy of Nutrition and Dietetics, Accreditation Council for Education in Nutrition and Dietetics","24","Dietetics (DIETI) - Dietetic Internship","1","Renewal of Accreditation","7/28/2017 12:00:00 AM","Is in compliance with all of the agency's accreditation standards","",""
"128629023","27","Academy of Nutrition and Dietetics, Accreditation Council for Education in Nutrition and Dietetics","24","Dietetics (DIETI) - Dietetic Internship","1","Loss of Accreditation or Preaccreditation: Voluntary Withdrawal","5/14/2018 12:00:00 AM","Other - Provide unlisted or multiple justifications","Program submitted a teach out plan that is in compliance with agency's policies",""
"149754027","27","Academy of Nutrition and Dietetics, Accreditation Council for Education in Nutrition and Dietetics","24","Dietetics (DIETI) - Dietetic Internship","1","Renewal of Accreditation","1/26/2018 12:00:00 AM","Is in compliance with all of the agency's accreditation standards","",""
"206880002","27","Academy of Nutrition and Dietetics, Accreditation Council for Education in Nutrition and Dietetics","24","Dietetics (DIETI) - Dietetic Internship","1","Renewal of Accreditation","7/28/2017 12:00:00 AM","Is in compliance with all of the agency's accreditation standards","",""
"192819","27","Academy of Nutrition and Dietetics, Accreditation Council for Education in Nutrition and Dietetics","24","Dietetics (DIETI) - Dietetic Internship","1","Renewal of Accreditation","1/27/2017 12:00:00 AM","Is in compliance with all of the agency's accreditation standards","",""
"192846","27","Academy of Nutrition and Dietetics, Accreditation Council for Education in Nutrition and Dietetics","24","Dietetics (DIETI) - Dietetic Internship","1","Renewal of Accreditation","7/28/2017 12:00:00 AM","Is in compliance with all of the agency's accreditation standards","",""
"192855","27","Academy of Nutrition and Dietetics, Accreditation Council for Education in Nutrition and Dietetics","24","Dietetics (DIETI) - Dietetic Internship","1","Renewal of Accreditation","7/28/2017 12:00:00 AM","Is in compliance with all of the agency's accreditation standards","",""
"192916","27","Academy of Nutrition and Dietetics, Accreditation Council for Education in Nutrition and Dietetics","24","Dietetics (DIETI) - Dietetic Internship","1","Renewal of Accreditation","7/28/2017 12:00:00 AM","Is in compliance with all of the agency's accreditation standards","",""
"192925","27","Academy of Nutrition and Dietetics, Accreditation Council for Education in Nutrition and Dietetics","24","Dietetics (DIETI) - Dietetic Internship","1","Renewal of Accreditation","7/28/2017 12:00:00 AM","Is in compliance with all of the agency's accreditation standards","",""
"192785","27","Academy of Nutrition and Dietetics, Accreditation Council for Education in Nutrition and Dietetics","24","Dietetics (DIETI) - Dietetic Internship","1","Renewal of Accreditation","1/27/2017 12:00:00 AM","Is in compliance with all of the agency's accreditation standards","",""
"192785","27","Academy of Nutrition and Dietetics, Accreditation Council for Education in Nutrition and Dietetics","24","Dietetics (DIETI) - Dietetic Internship","1","Grant Substantive Change: Other","9/10/2018 12:00:00 AM","Is in compliance with all of the agency's accreditation standards","",""
"192794","27","Academy of Nutrition and Dietetics, Accreditation Council for Education in Nutrition and Dietetics","24","Dietetics (DIETI) - Dietetic Internship","1","Renewal of Accreditation","1/26/2018 12:00:00 AM","Is in compliance with all of the agency's accreditation standards","",""
"192536","27","Academy of Nutrition and Dietetics, Accreditation Council for Education in Nutrition and Dietetics","24","Dietetics (DIETI) - Dietetic Internship","1","Renewal of Accreditation","1/26/2018 12:00:00 AM","Is in compliance with all of the agency's accreditation standards","",""
"192572","27","Academy of Nutrition and Dietetics, Accreditation Council for Education in Nutrition and Dietetics","24","Dietetics (DIETI) - Dietetic Internship","1","Renewal of Accreditation","7/27/2018 12:00:00 AM","Is in compliance with all of the agency's accreditation standards","",""
"192581","27","Academy of Nutrition and Dietetics, Accreditation Council for Education in Nutrition and Dietetics","24","Dietetics (DIETI) - Dietetic Internship","1","Renewal of Accreditation","7/28/2017 12:00:00 AM","Is in compliance with all of the agency's accreditation standards","",""
"192581","27","Academy of Nutrition and Dietetics, Accreditation Council for Education in Nutrition and Dietetics","24","Dietetics (DIETI) - Dietetic Internship","1","Grant Substantive Change: Degree","12/10/2018 12:00:00 AM","Is in compliance with all of the agency's accreditation standards","",""
"192590","27","Academy of Nutrition and Dietetics, Accreditation Council for Education in Nutrition and Dietetics","24","Dietetics (DIETI) - Dietetic Internship","1","Renewal of Accreditation","6/11/2018 12:00:00 AM","Additional oversight is required to ensure a resolution of compliance issues","",""
"192633","27","Academy of Nutrition and Dietetics, Accreditation Council for Education in Nutrition and Dietetics","24","Dietetics (DIETI) - Dietetic Internship","1","Renewal of Accreditation","1/26/2018 12:00:00 AM","Is in compliance with all of the agency's accreditation standards","",""
"192679","27","Academy of Nutrition and Dietetics, Accreditation Council for Education in Nutrition and Dietetics","24","Dietetics (DIETI) - Dietetic Internship","1","Renewal of Accreditation","7/28/2017 12:00:00 AM","Is in compliance with all of the agency's accreditation standards","",""
"192697","27","Academy of Nutrition and Dietetics, Accreditation Council for Education in Nutrition and Dietetics","24","Dietetics (DIETI) - Dietetic Internship","1","Renewal of Accreditation","1/27/2017 12:00:00 AM","Is in compliance with all of the agency's accreditation standards","",""
"192730","27","Academy of Nutrition and Dietetics, Accreditation Council for Education in Nutrition and Dietetics","24","Dietetics (DIETI) - Dietetic Internship","1","Renewal of Accreditation","7/28/2017 12:00:00 AM","Is in compliance with all of the agency's accreditation standards","",""
"192934","27","Academy of Nutrition and Dietetics, Accreditation Council for Education in Nutrition and Dietetics","24","Dietetics (DIETI) - Dietetic Internship","1","Grant Substantive Change: Other","9/10/2018 12:00:00 AM","Is in compliance with all of the agency's accreditation standards","",""
"193025","27","Academy of Nutrition and Dietetics, Accreditation Council for Education in Nutrition and Dietetics","24","Dietetics (DIETI) - Dietetic Internship","1","Renewal of Accreditation","1/26/2018 12:00:00 AM","Is in compliance with all of the agency's accreditation standards","",""
"193034","27","Academy of Nutrition and Dietetics, Accreditation Council for Education in Nutrition and Dietetics","24","Dietetics (DIETI) - Dietetic Internship","1","Grant Substantive Change: Other","12/11/2017 12:00:00 AM","Is in compliance with all of the agency's accreditation standards","",""
"193229","27","Academy of Nutrition and Dietetics, Accreditation Council for Education in Nutrition and Dietetics","24","Dietetics (DIETI) - Dietetic Internship","1","Renewal of Accreditation","1/27/2017 12:00:00 AM","Is in compliance with all of the agency's accreditation standards","",""
"193283","27","Academy of Nutrition and Dietetics, Accreditation Council for Education in Nutrition and Dietetics","24","Dietetics (DIETI) - Dietetic Internship","1","Renewal of Accreditation","1/26/2018 12:00:00 AM","Is in compliance with all of the agency's accreditation standards","",""
"193344","27","Academy of Nutrition and Dietetics, Accreditation Council for Education in Nutrition and Dietetics","24","Dietetics (DIETI) - Dietetic Internship","1","Renewal of Accreditation","1/27/2017 12:00:00 AM","Is in compliance with all of the agency's accreditation standards","",""
"193371","27","Academy of Nutrition and Dietetics, Accreditation Council for Education in Nutrition and Dietetics","24","Dietetics (DIETI) - Dietetic Internship","1","Renewal of Accreditation","1/26/2018 12:00:00 AM","Is in compliance with all of the agency's accreditation standards","",""
"195340","27","Academy of Nutrition and Dietetics, Accreditation Council for Education in Nutrition and Dietetics","24","Dietetics (DIETI) - Dietetic Internship","1","Renewal of Accreditation","1/27/2017 12:00:00 AM","Is in compliance with all of the agency's accreditation standards","",""
"196200","27","Academy of Nutrition and Dietetics, Accreditation Council for Education in Nutrition and Dietetics","24","Dietetics (DIETI) - Dietetic Internship","1","Renewal of Accreditation","1/27/2017 12:00:00 AM","Is in compliance with all of the agency's accreditation standards","",""
"197771","27","Academy of Nutrition and Dietetics, Accreditation Council for Education in Nutrition and Dietetics","24","Dietetics (DIETI) - Dietetic Internship","1","Renewal of Accreditation","7/27/2018 12:00:00 AM","Additional oversight is required to ensure a resolution of compliance issues","",""
"165787","27","Academy of Nutrition and Dietetics, Accreditation Council for Education in Nutrition and Dietetics","24","Dietetics (DIETI) - Dietetic Internship","1","Probation or Equivalent or a More Severe Status: Probation","10/9/2017 12:00:00 AM","Additional oversight is required to ensure a resolution of compliance issues","",""
"166212","27","Academy of Nutrition and Dietetics, Accreditation Council for Education in Nutrition and Dietetics","24","Dietetics (DIETI) - Dietetic Internship","1","Probation or Equivalent or a More Severe Status: Probation","1/27/2017 12:00:00 AM","Additional oversight is required to ensure a resolution of compliance issues","",""
"166212","27","Academy of Nutrition and Dietetics, Accreditation Council for Education in Nutrition and Dietetics","24","Dietetics (DIETI) - Dietetic Internship","1","Loss of Accreditation or Preaccreditation: Denial","9/10/2018 12:00:00 AM","Significantly out of compliance - student achievement","",""
"176381","27","Academy of Nutrition and Dietetics, Accreditation Council for Education in Nutrition and Dietetics","24","Dietetics (DIETI) - Dietetic Internship","1","Renewal of Accreditation","7/27/2018 12:00:00 AM","Additional oversight is required to ensure a resolution of compliance issues","",""
"181224","27","Academy of Nutrition and Dietetics, Accreditation Council for Education in Nutrition and Dietetics","24","Dietetics (DIETI) - Dietetic Internship","1","Grant Substantive Change: Other","1/26/2018 12:00:00 AM","Is in compliance with all of the agency's accreditation standards","",""
"181969","27","Academy of Nutrition and Dietetics, Accreditation Council for Education in Nutrition and Dietetics","24","Dietetics (DIETI) - Dietetic Internship","1","Renewal of Accreditation","7/28/2017 12:00:00 AM","Is in compliance with all of the agency's accreditation standards","",""
"213011","27","Academy of Nutrition and Dietetics, Accreditation Council for Education in Nutrition and Dietetics","24","Dietetics (DIETI) - Dietetic Internship","1","Renewal of Accreditation","7/28/2017 12:00:00 AM","Is in compliance with all of the agency's accreditation standards","",""
"214166","27","Academy of Nutrition and Dietetics, Accreditation Council for Education in Nutrition and Dietetics","24","Dietetics (DIETI) - Dietetic Internship","1","Renewal of Accreditation","1/26/2018 12:00:00 AM","Is in compliance with all of the agency's accreditation standards","",""
"219824","27","Academy of Nutrition and Dietetics, Accreditation Council for Education in Nutrition and Dietetics","24","Dietetics (DIETI) - Dietetic Internship","1","Renewal of Accreditation","7/27/2018 12:00:00 AM","Is in compliance with all of the agency's accreditation standards","",""
"219833","27","Academy of Nutrition and Dietetics, Accreditation Council for Education in Nutrition and Dietetics","24","Dietetics (DIETI) - Dietetic Internship","1","Loss of Accreditation or Preaccreditation: Voluntary Withdrawal","12/19/2017 12:00:00 AM","Other - Provide unlisted or multiple justifications","Institution no longer wishes to offer an accredited program.",""
"219833","27","Academy of Nutrition and Dietetics, Accreditation Council for Education in Nutrition and Dietetics","24","Dietetics (DIETI) - Dietetic Internship","2","Loss of Accreditation or Preaccreditation: Voluntary Withdrawal","12/19/2017 12:00:00 AM","Other - Provide unlisted or multiple justifications","Institution no longer wishes to offer an accredited program.",""
"220057","27","Academy of Nutrition and Dietetics, Accreditation Council for Education in Nutrition and Dietetics","24","Dietetics (DIETI) - Dietetic Internship","1","Renewal of Accreditation","1/27/2017 12:00:00 AM","Is in compliance with all of the agency's accreditation standards","",""
"220905","27","Academy of Nutrition and Dietetics, Accreditation Council for Education in Nutrition and Dietetics","24","Dietetics (DIETI) - Dietetic Internship","1","Renewal of Accreditation","1/26/2018 12:00:00 AM","Is in compliance with all of the agency's accreditation standards","",""
"221786","27","Academy of Nutrition and Dietetics, Accreditation Council for Education in Nutrition and Dietetics","24","Dietetics (DIETI) - Dietetic Internship","1","Renewal of Accreditation","7/27/2018 12:00:00 AM","Additional oversight is required to ensure a resolution of compliance issues","",""
"223612","27","Academy of Nutrition and Dietetics, Accreditation Council for Education in Nutrition and Dietetics","24","Dietetics (DIETI) - Dietetic Internship","1","Initial Accreditation","1/27/2017 12:00:00 AM","Is in compliance with all of the agency's accreditation standards","",""
"225584","27","Academy of Nutrition and Dietetics, Accreditation Council for Education in Nutrition and Dietetics","24","Dietetics (DIETI) - Dietetic Internship","1","Renewal of Accreditation","1/26/2018 12:00:00 AM","Is in compliance with all of the agency's accreditation standards","",""
"229984","27","Academy of Nutrition and Dietetics, Accreditation Council for Education in Nutrition and Dietetics","24","Dietetics (DIETI) - Dietetic Internship","1","Renewal of Accreditation","1/27/2017 12:00:00 AM","Is in compliance with all of the agency's accreditation standards","",""
"151467","27","Academy of Nutrition and Dietetics, Accreditation Council for Education in Nutrition and Dietetics","24","Dietetics (DIETI) - Dietetic Internship","1","Renewal of Accreditation","7/27/2018 12:00:00 AM","Additional oversight is required to ensure a resolution of compliance issues","",""
"152424","27","Academy of Nutrition and Dietetics, Accreditation Council for Education in Nutrition and Dietetics","24","Dietetics (DIETI) - Dietetic Internship","1","Renewal of Accreditation","1/27/2017 12:00:00 AM","Is in compliance with all of the agency's accreditation standards","",""
"156569","27","Academy of Nutrition and Dietetics, Accreditation Council for Education in Nutrition and Dietetics","24","Dietetics (DIETI) - Dietetic Internship","1","Renewal of Accreditation","1/26/2018 12:00:00 AM","Is in compliance with all of the agency's accreditation standards","",""
"159504","27","Academy of Nutrition and Dietetics, Accreditation Council for Education in Nutrition and Dietetics","24","Dietetics (DIETI) - Dietetic Internship","1","Renewal of Accreditation","1/26/2018 12:00:00 AM","Is in compliance with all of the agency's accreditation standards","",""
"146533","27","Academy of Nutrition and Dietetics, Accreditation Council for Education in Nutrition and Dietetics","24","Dietetics (DIETI) - Dietetic Internship","1","Renewal of Accreditation","1/27/2017 12:00:00 AM","Is in compliance with all of the agency's accreditation standards","",""
"148229","27","Academy of Nutrition and Dietetics, Accreditation Council for Education in Nutrition and Dietetics","24","Dietetics (DIETI) - Dietetic Internship","1","Renewal of Accreditation","7/27/2018 12:00:00 AM","Is in compliance with all of the agency's accreditation standards","",""
"148292","27","Academy of Nutrition and Dietetics, Accreditation Council for Education in Nutrition and Dietetics","24","Dietetics (DIETI) - Dietetic Internship","1","Renewal of Accreditation","3/12/2018 12:00:00 AM","Is in compliance with all of the agency's accreditation standards","",""
"149444","27","Academy of Nutrition and Dietetics, Accreditation Council for Education in Nutrition and Dietetics","24","Dietetics (DIETI) - Dietetic Internship","1","Renewal of Accreditation","1/26/2018 12:00:00 AM","Is in compliance with all of the agency's accreditation standards","",""
"149754","27","Academy of Nutrition and Dietetics, Accreditation Council for Education in Nutrition and Dietetics","24","Dietetics (DIETI) - Dietetic Internship","1","Renewal of Accreditation","9/11/2017 12:00:00 AM","Additional oversight is required to ensure a resolution of compliance issues","",""
"149754","27","Academy of Nutrition and Dietetics, Accreditation Council for Education in Nutrition and Dietetics","24","Dietetics (DIETI) - Dietetic Internship","1","Renewal of Accreditation","9/10/2018 12:00:00 AM","Is in compliance with all of the agency's accreditation standards","",""
"150491","27","Academy of Nutrition and Dietetics, Accreditation Council for Education in Nutrition and Dietetics","24","Dietetics (DIETI) - Dietetic Internship","1","Renewal of Accreditation","1/27/2017 12:00:00 AM","Is in compliance with all of the agency's accreditation standards","",""
"150491","27","Academy of Nutrition and Dietetics, Accreditation Council for Education in Nutrition and Dietetics","24","Dietetics (DIETI) - Dietetic Internship","1","Grant Substantive Change: Other","11/12/2018 12:00:00 AM","Is in compliance with all of the agency's accreditation standards","",""
"150552","27","Academy of Nutrition and Dietetics, Accreditation Council for Education in Nutrition and Dietetics","24","Dietetics (DIETI) - Dietetic Internship","1","Renewal of Accreditation","7/28/2017 12:00:00 AM","Is in compliance with all of the agency's accreditation standards","",""
"146506","27","Academy of Nutrition and Dietetics, Accreditation Council for Education in Nutrition and Dietetics","24","Dietetics (DIETI) - Dietetic Internship","1","Renewal of Accreditation","7/28/2017 12:00:00 AM","Is in compliance with all of the agency's accreditation standards","",""
"145901","27","Academy of Nutrition and Dietetics, Accreditation Council for Education in Nutrition and Dietetics","24","Dietetics (DIETI) - Dietetic Internship","1","Renewal of Accreditation","5/14/2018 12:00:00 AM","Additional oversight is required to ensure a resolution of compliance issues","",""
"145901","27","Academy of Nutrition and Dietetics, Accreditation Council for Education in Nutrition and Dietetics","24","Dietetics (DIETI) - Dietetic Internship","1","Renewal of Accreditation","9/10/2018 12:00:00 AM","Is in compliance with all of the agency's accreditation standards","",""
"143251","27","Academy of Nutrition and Dietetics, Accreditation Council for Education in Nutrition and Dietetics","24","Dietetics (DIETI) - Dietetic Internship","1","Grant Substantive Change: Other","10/8/2018 12:00:00 AM","Is in compliance with all of the agency's accreditation standards","",""
"144032","27","Academy of Nutrition and Dietetics, Accreditation Council for Education in Nutrition and Dietetics","24","Dietetics (DIETI) - Dietetic Internship","1","Renewal of Accreditation","7/27/2018 12:00:00 AM","Is in compliance with all of the agency's accreditation standards","",""
"144148","27","Academy of Nutrition and Dietetics, Accreditation Council for Education in Nutrition and Dietetics","24","Dietetics (DIETI) - Dietetic Internship","1","Renewal of Accreditation","1/26/2018 12:00:00 AM","Is in compliance with all of the agency's accreditation standards","",""
"141990","27","Academy of Nutrition and Dietetics, Accreditation Council for Education in Nutrition and Dietetics","24","Dietetics (DIETI) - Dietetic Internship","1","Renewal of Accreditation","1/27/2017 12:00:00 AM","Is in compliance with all of the agency's accreditation standards","",""
"140711","27","Academy of Nutrition and Dietetics, Accreditation Council for Education in Nutrition and Dietetics","24","Dietetics (DIETI) - Dietetic Internship","1","Loss of Accreditation or Preaccreditation: Voluntary Withdrawal","12/10/2018 12:00:00 AM","Other - Provide unlisted or multiple justifications","Program's Teach Out Plan Accepted",""
"139834","27","Academy of Nutrition and Dietetics, Accreditation Council for Education in Nutrition and Dietetics","24","Dietetics (DIETI) - Dietetic Internship","1","Renewal of Accreditation","1/27/2017 12:00:00 AM","Is in compliance with all of the agency's accreditation standards","",""
"140252","27","Academy of Nutrition and Dietetics, Accreditation Council for Education in Nutrition and Dietetics","24","Dietetics (DIETI) - Dietetic Internship","2","Grant Substantive Change: Degree","4/10/2017 12:00:00 AM","Is in compliance with all of the agency's accreditation standards","",""
"139630","27","Academy of Nutrition and Dietetics, Accreditation Council for Education in Nutrition and Dietetics","24","Dietetics (DIETI) - Dietetic Internship","1","Renewal of Accreditation","1/27/2017 12:00:00 AM","Is in compliance with all of the agency's accreditation standards","",""
"136507","27","Academy of Nutrition and Dietetics, Accreditation Council for Education in Nutrition and Dietetics","24","Dietetics (DIETI) - Dietetic Internship","1","Renewal of Accreditation","1/26/2018 12:00:00 AM","Is in compliance with all of the agency's accreditation standards","",""
"137616","27","Academy of Nutrition and Dietetics, Accreditation Council for Education in Nutrition and Dietetics","24","Dietetics (DIETI) - Dietetic Internship","1","Renewal of Accreditation","1/27/2017 12:00:00 AM","Is in compliance with all of the agency's accreditation standards","",""
"138293","27","Academy of Nutrition and Dietetics, Accreditation Council for Education in Nutrition and Dietetics","24","Dietetics (DIETI) - Dietetic Internship","1","Renewal of Accreditation","7/28/2017 12:00:00 AM","Is in compliance with all of the agency's accreditation standards","",""
"133890","27","Academy of Nutrition and Dietetics, Accreditation Council for Education in Nutrition and Dietetics","24","Dietetics (DIETI) - Dietetic Internship","1","Renewal of Accreditation","7/27/2018 12:00:00 AM","Is in compliance with all of the agency's accreditation standards","",""
"130208","27","Academy of Nutrition and Dietetics, Accreditation Council for Education in Nutrition and Dietetics","24","Dietetics (DIETI) - Dietetic Internship","1","Renewal of Accreditation","1/27/2017 12:00:00 AM","Is in compliance with all of the agency's accreditation standards","",""
"130138","27","Academy of Nutrition and Dietetics, Accreditation Council for Education in Nutrition and Dietetics","24","Dietetics (DIETI) - Dietetic Internship","1","Grant Substantive Change: Degree","5/14/2018 12:00:00 AM","Is in compliance with all of the agency's accreditation standards","",""
"130174","27","Academy of Nutrition and Dietetics, Accreditation Council for Education in Nutrition and Dietetics","24","Dietetics (DIETI) - Dietetic Internship","1","Renewal of Accreditation","1/26/2018 12:00:00 AM","Is in compliance with all of the agency's accreditation standards","",""
"131423","27","Academy of Nutrition and Dietetics, Accreditation Council for Education in Nutrition and Dietetics","24","Dietetics (DIETI) - Dietetic Internship","1","Renewal of Accreditation","7/28/2017 12:00:00 AM","Is in compliance with all of the agency's accreditation standards","",""
"131876","27","Academy of Nutrition and Dietetics, Accreditation Council for Education in Nutrition and Dietetics","24","Dietetics (DIETI) - Dietetic Internship","1","Renewal of Accreditation","1/27/2017 12:00:00 AM","Is in compliance with all of the agency's accreditation standards","",""
"132365","27","Academy of Nutrition and Dietetics, Accreditation Council for Education in Nutrition and Dietetics","24","Dietetics (DIETI) - Dietetic Internship","1","Renewal of Accreditation","1/26/2018 12:00:00 AM","Is in compliance with all of the agency's accreditation standards","",""
"133049","27","Academy of Nutrition and Dietetics, Accreditation Council for Education in Nutrition and Dietetics","24","Dietetics (DIETI) - Dietetic Internship","1","Grant Substantive Change: Other","10/9/2017 12:00:00 AM","Is in compliance with all of the agency's accreditation standards","",""
"124849","27","Academy of Nutrition and Dietetics, Accreditation Council for Education in Nutrition and Dietetics","24","Dietetics (DIETI) - Dietetic Internship","1","Renewal of Accreditation","7/27/2018 12:00:00 AM","Additional oversight is required to ensure a resolution of compliance issues","",""
